PERM Test Case ID,Name,Category,Maestro Flow,Automation,Primary PM ID,Comments
PERM_001,Allow All Permissions,General,PM_20 - Permission Flow Allow All Permissions.yaml,Automated,PM_20,
PERM_002,Gallery All vs Limited Access,General,PM_16; PM_17,Automated,PM_16,Two runs: PM_16 then PM_17.
PERM_003,Camera — Denied First Time,Camera,PM_02 - Camera Permission Deny.yaml,Automated,PM_02,
PERM_004,Camera — Denied Twice,Camera,PM_03 - Camera Permission Don't Ask Again.yaml,Automated,PM_03,
PERM_005,Camera — Recovery from Settings,Camera,PM_04 - Camera Permission Settings Recovery.yaml,Automated,PM_04,
PERM_006,Location — Denied First Time,Location,PM_07 - Location Permission Deny.yaml,Automated,PM_07,
PERM_007,Location — Denied Twice,Location,PM_08 - Location Permission Don't Ask Again.yaml,Automated,PM_08,
PERM_008,Location — Recovery from Settings,Location,PM_08 + manual settings,Partial,PM_08 + manual settings,Settings UI may use setPermissions fallback.
PERM_009,Nearby Devices — Denied First Time,Nearby Devices,PM_10 - Nearby Devices Permission Deny.yaml,Automated,PM_10,
PERM_010,Nearby Devices — Denied Twice,Nearby Devices,PM_29 - Nearby Devices Permission Don't Ask Again.yaml,Automated,PM_29,
PERM_011,Nearby Devices — Recovery from Settings,Nearby Devices,PM_11 - Nearby Devices Permission Enable Later.yaml,Automated,PM_11,
PERM_012,Notification — Denied First Time,Notification,PM_13 - Notification Permission Deny.yaml,Automated,PM_13,
PERM_013,Notification — Denied Twice,Notification,PM_30 - Notification Permission Don't Ask Again.yaml,Automated,PM_30,
PERM_014,Notification — Recovery from Settings,Notification,PM_15 - Notification Permission Settings Recovery.yaml,Automated,PM_15,
PERM_015,Photos & Videos — Denied First Time,Photos & Videos,PM_18 - Photos and Videos Permission Deny.yaml,Automated,PM_18,
PERM_016,Photos & Videos — Denied Twice,Photos & Videos,PM_19 - Photos and Videos Permission Don't Ask Again.yaml,Automated,PM_19,
PERM_017,Photos & Videos — Recovery from Settings,Photos & Videos,Manual / TBD,Partial,,
PERM_018,Camera Denied in Gallery Album,Gallery Combination,PM_02 + PM_16,Partial,PM_02 + PM_16,Gallery Rule 6.
PERM_019,All Permissions Denied Except Gallery,Gallery Combination,PM_10 pattern + PM_16,Partial,PM_10 pattern + PM_16,
PERM_020,Select/Deselect Other Permissions in Gallery,Gallery Combination,Manual combination,Manual,,
PERM_021,Limited Gallery + Camera Denied,Gallery Combination,PM_17 + camera deny,Partial,PM_17 + camera deny,
PERM_022,Notifications Denied in Gallery Album,Gallery Combination,PM_13 + PM_16,Partial,PM_13 + PM_16,
PERM_023,App Relaunch After Permissions Granted,Lifecycle,PM_20 + relaunch,Partial,PM_20 + relaunch,
PERM_024,App Relaunch After Permissions Denied,Lifecycle,Manual,Manual,,
PERM_025,Background App During Permission Popup,Lifecycle,PM_22 - App Background During Permission Popup.yaml,Automated,PM_22,
PERM_026,Force Stop During Permission Flow,Lifecycle,PM_26 - App Kill During Permission Flow.yaml,Automated,PM_26,
PERM_027,Clear App Data and Relaunch,Lifecycle,PM_28 - First Launch After Reinstall.yaml,Automated,PM_28,Suite also runs adb pm clear before each test.
PERM_028,First Launch After Reinstall,Lifecycle,PM_28 - First Launch After Reinstall.yaml,Automated,PM_28,
PERM_029,Permission Validation Scenario 01,Validation,PM_20,Regression,PM_20,Run on Android 11–16 OEM matrix.
PERM_030,Permission Validation Scenario 02,Validation,PM_02 + PM_01,Regression,PM_02 + PM_01,Run on Android 11–16 OEM matrix.
PERM_031,Permission Validation Scenario 03,Validation,PM_05,Regression,PM_05,Run on Android 11–16 OEM matrix.
PERM_032,Permission Validation Scenario 04,Validation,PM_06,Regression,PM_06,Run on Android 11–16 OEM matrix.
PERM_033,Permission Validation Scenario 05,Validation,PM_09,Regression,PM_09,Run on Android 11–16 OEM matrix.
PERM_034,Permission Validation Scenario 06,Validation,PM_12,Regression,PM_12,Run on Android 11–16 OEM matrix.
PERM_035,Permission Validation Scenario 07,Validation,PM_16,Regression,PM_16,Run on Android 11–16 OEM matrix.
PERM_036,Permission Validation Scenario 08,Validation,PM_17,Regression,PM_17,Run on Android 11–16 OEM matrix.
PERM_037,Permission Validation Scenario 09,Validation,PM_03,Regression,PM_03,Run on Android 11–16 OEM matrix.
PERM_038,Permission Validation Scenario 10,Validation,PM_19,Regression,PM_19,Run on Android 11–16 OEM matrix.
PERM_039,Permission Validation Scenario 11,Validation,PM_21,Regression,PM_21,Run on Android 11–16 OEM matrix.
PERM_040,Permission Validation Scenario 12,Validation,PM_25,Regression,PM_25,Run on Android 11–16 OEM matrix.
PERM_041,Permission Validation Scenario 13,Validation,PM_27,Regression,PM_27,Run on Android 11–16 OEM matrix.
PERM_042,Permission Validation Scenario 14,Validation,PM_23,Regression,PM_23,Run on Android 11–16 OEM matrix.
PERM_043,Permission Validation Scenario 15,Validation,PM_24,Regression,PM_24,Run on Android 11–16 OEM matrix.
PERM_044,Permission Validation Scenario 16,Validation,PM_14,Regression,PM_14,Run on Android 11–16 OEM matrix.
PERM_045,Permission Validation Scenario 17,Validation,Manual matrix,Manual,,Run on Android 11–16 OEM matrix.
