ATP Test Case ID,Module Folder,YAML File,Test Name,Source
SU_01,signup-login,SU_01.yaml,Skip sign up / I'll do it later,manual
SU_02,signup-login,SU_02.yaml,Create account (valid),manual
SU_03,signup-login,SU_03.yaml,Invalid email (no @),manual
ON_01,onboarding,ON_01.yaml,Enter onboarding after terms,manual
ON_02,onboarding,ON_02.yaml,Next and swipe slides,manual
ON_03,onboarding,ON_03.yaml,Skip onboarding to gallery,manual
CO_01,connection,CO_01.yaml,Gallery Bluetooth connect,manual
SE_03,onboarding,SE_03.yaml,Settings quick tour (legacy path),manual
CA_01,camera,CA_01.yaml,Enter camera mode,atp_camera_mapping.json
CA_02,camera,CA_02.yaml,Open camera go back to gallery,atp_camera_mapping.json
CA_03,camera,CA_03.yaml,Capture and print photo,atp_camera_mapping.json
CA_04,camera,CA_04.yaml,Capture selfie photo,atp_camera_mapping.json
CA_05,camera,CA_05.yaml,Capture photo with flash,atp_camera_mapping.json
CA_06,camera,CA_06.yaml,Capture photo with filter,atp_camera_mapping.json
CA_07,camera,CA_07.yaml,AR scan from camera,atp_camera_mapping.json
CA_E01,camera,CA_E01.yaml,Camera with permission denied,atp_camera_mapping.json
CA_E02,camera,CA_E02.yaml,Rapid photo capture,atp_camera_mapping.json
CA_E03,camera,CA_E03.yaml,Camera with low storage,atp_camera_mapping.json
CA_E04,camera,CA_E04.yaml,Rapid camera switching,atp_camera_mapping.json
# Re-sync from workbook: python scripts/sync_atp_camera_from_xlsx.py --xlsx "Kodak Step Print ATP 2026.xlsx"
